id,Attrition
1,0.020625
2,0.045625
3,0.11
4,0.095625
5,0.0275
6,0.060625
7,0.3175
8,0.163125
9,0.121875
10,0.061875
11,0.0725
12,0.08625
13,0.054375
14,0.01
15,0.034375
16,0.031875
17,0.25625
18,0.075
19,0.093125
20,0.0075
21,0.025
22,0.415625
23,0.09375
24,0.068125
25,0.07875
26,0.025
27,0.01625
28,0.0225
29,0.731875
30,0.06125
31,0.0125
32,0.08625
33,0.19
34,0.21125
35,0.024375
36,0.038125
37,0.109375
38,0.098125
39,0.096875
40,0.171875
41,0.575
42,0.17
43,0.044375
44,0.076875
45,0.04375
46,0.071875
47,0.115
48,0.1275
49,0.014375
50,0.13
51,0.48625
52,0.085
53,0.160625
54,0.231875
55,0.16375
56,0.13375
57,0.04125
58,0.320625
59,0.0075
60,0.113125
61,0.05875
62,0.03125
63,0.37
64,0.01375
65,0.065625
66,0.053125
67,0.035
68,0.058125
69,0.113125
70,0.095
71,0.120625
72,0.0525
73,0.14125
74,0.12375
75,0.230625
76,0.24625
77,0.110625
78,0.06875
79,0.025625
80,0.518125
81,0.0525
82,0.190625
83,0.140625
84,0.014375
85,0.2075
86,0.051875
87,0.114375
88,0.084375
89,0.096875
90,0.24125
91,0.169375
92,0.051875
93,0.18125
94,0.116875
95,0.56125
96,0.2525
97,0.238125
98,0.113125
99,0.075
100,0.01625
101,0.19
102,0.085
103,0.045625
104,0.096875
105,0.170625
106,0.1325
107,0.026875
108,0.059375
109,0.049375
110,0.0625
111,0.095625
112,0.15375
113,0.09375
114,0.066875
115,0.12625
116,0.01625
117,0.026875
118,0.0675
119,0.049375
120,0.075625
121,0.434375
122,0.206875
123,0.039375
124,0.301875
125,0.279375
126,0.028125
127,0.016875
128,0.279375
129,0.376875
130,0.115
131,0.1075
132,0.01
133,0.0575
134,0.106875
135,0.085
136,0.063125
137,0.765
138,0.06375
139,0.378125
140,0.031875
141,0.17
142,0.205
143,0.036875
144,0.01125
145,0.035625
146,0.309375
147,0.054375
148,0.365
149,0.1375
150,0.29625
151,0.29625
152,0.1425
153,0.05375
154,0.69875
155,0.03
156,0.053125
157,0.041875
158,0.056875
159,0.0425
160,0.036875
161,0.34375
162,0.098125
163,0.038125
164,0.038125
165,0.0375
166,0.263125
167,0.241875
168,0.141875
169,0.005
170,0.056875
171,0.07875
172,0.053125
173,0.05875
174,0.29375
175,0.01
176,0.1275
177,0.080625
178,0.0925
179,0.15875
180,0.355
181,0.27625
182,0.121875
183,0.66
184,0.09375
185,0.489375
186,0.18125
187,0.045
188,0.043125
189,0.104375
190,0.0725
191,0.090625
192,0.080625
193,0.0325
194,0.249375
195,0.413125
196,0.38
197,0.0425
198,0.1575
199,0.034375
200,0.100625
201,0.368125
202,0.124375
203,0.255625
204,0.070625
205,0.145
206,0.08625
207,0.399375
208,0.13875
209,0.050625
210,0.218125
211,0.343125
212,0.140625
213,0.1125
214,0.1325
215,0.298125
216,0.66875
217,0.46375
218,0.060625
219,0.1125
220,0.07
221,0.121875
222,0.093125
223,0.089375
224,0.095625
225,0.10125
226,0.01625
227,0.07375
228,0.059375
229,0.036875
230,0.106875
231,0.438125
232,0.14
233,0.039375
234,0.229375
235,0.00875
236,0.195
237,0.065
238,0.050625
239,0.420625
240,0.03375
241,0.0575
242,0.05375
243,0.404375
244,0.396875
245,0.029375
246,0.01875
247,0.424375
248,0.019375
249,0.01625
250,0.075625
251,0.035625
252,0.01
253,0.03625
254,0.070625
255,0.025
256,0.406875
257,0.055
258,0.138125
259,0.103125
260,0.27625
261,0.0175
262,0.034375
263,0.148125
264,0.354375
265,0.2275
266,0.176875
267,0.05625
268,0.05375
269,0.464375
270,0.045
271,0.051875
272,0.12875
273,0.6725
274,0.31625
275,0.26
276,0.168125
277,0.10125
278,0.158125
279,0.06125
280,0.095625
281,0.210625
282,0.240625
283,0.138125
284,0.148125
285,0.205625
286,0.571875
287,0.0675
288,0.143125
289,0.051875
290,0.095625
291,0.203125
292,0.05625
293,0.11125
294,0.125625
295,0.07
296,0.1925
297,0.026875
298,0.1025
299,0.421875
300,0.09875
301,0.021875
302,0.023125
303,0.07125
304,0.433125
305,0.11625
306,0.069375
307,0.250625
308,0.04
309,0.0575
310,0.0475
311,0.08625
312,0.138125
313,0.153125
314,0.131875
315,0.109375
316,0.126875
317,0.36125
318,0.136875
319,0.029375
320,0.18875
321,0.12125
322,0.110625
323,0.02375
324,0.101875
325,0.463125
326,0.095625
327,0.455625
328,0.255625
329,0.22
330,0.205625
331,0.05625
332,0.15875
333,0.03375
334,0.0725
335,0.123125
336,0.0775
337,0.1225
338,0.1425
339,0.044375
340,0.345625
341,0.07
342,0.55625
343,0.03
344,0.22
345,0.12125
346,0.061875
347,0.1475
348,0.085
349,0.043125
350,0.1025
351,0.006875
352,0.024375
353,0.176875
354,0.17
355,0.021875
356,0.38875
357,0.261875
358,0.0675
359,0.074375
360,0.2125
361,0.02125
362,0.086875
363,0.026875
364,0.103125
365,0.303125
366,0.121875
367,0.12
368,0.08625
369,0.1025
370,0.295625
371,0.074375
372,0.0625
373,0.059375
374,0.590625
375,0.205
376,0.083125
377,0.155625
378,0.184375
379,0.211875
380,0.00625
381,0.330625
382,0.068125
383,0.045
384,0.048125
385,0.3175
386,0.28125
387,0.5325
388,0.469375
389,0.181875
390,0.3575
391,0.055625
392,0.013125
393,0.254375
394,0.041875
395,0.0425
396,0.09
397,0.303125
398,0.02875
399,0.05
400,0.109375
401,0.108125
402,0.025
403,0.10375
404,0.145
405,0.24875
406,0.031875
407,0.038125
408,0.214375
409,0.12
410,0.065625
411,0.045
412,0.04
413,0.083125
414,0.13875
415,0.11625
416,0.004375
417,0.429375
418,0.10375
419,0.051875
420,0.026875
421,0.235
422,0.256875
423,0.05625
424,0.13
425,0.1075
426,0.02625
427,0.074375
428,0.0475
429,0.120625
430,0.1275
431,0.05
432,0.015
433,0.049375
434,0.06
435,0.218125
436,0.015
437,0.06125
438,0.0175
439,0.099375
440,0.03125
441,0.089375
442,0.138125
443,0.049375
444,0.023125
445,0.1075
446,0.028125
447,0.041875
448,0.166875
449,0.05625
450,0.1275
451,0.08
452,0.113125
453,0.724375
454,0.153125
455,0.06125
456,0.020625
457,0.339375
458,0.35875
459,0.32625
460,0.093125
461,0.024375
462,0.060625
463,0.200625
464,0.318125
465,0.303125
466,0.16125
467,0.729375
468,0.223125
469,0.054375
470,0.085625
