id,Attrition
1,0.0075
2,0.045
3,0.1275
4,0.1125
5,0.04
6,0.0325
7,0.295
8,0.1775
9,0.0875
10,0.0625
11,0.055
12,0.1225
13,0.075
14,0.015
15,0.025
16,0.01
17,0.215
18,0.11
19,0.1
20,0.0075
21,0.035
22,0.4825
23,0.0725
24,0.0775
25,0.0575
26,0.0275
27,0.025
28,0.0175
29,0.755
30,0.0375
31,0.0175
32,0.0725
33,0.1975
34,0.2075
35,0.015
36,0.0525
37,0.09
38,0.1125
39,0.0725
40,0.1725
41,0.68
42,0.1525
43,0.0575
44,0.0475
45,0.0325
46,0.0575
47,0.1
48,0.1275
49,0.02
50,0.0725
51,0.445
52,0.0475
53,0.1175
54,0.26
55,0.105
56,0.16
57,0.065
58,0.3425
59,0.0175
60,0.085
61,0.04
62,0.0375
63,0.3675
64,0.0175
65,0.05
66,0.065
67,0.0225
68,0.0625
69,0.1025
70,0.1225
71,0.11
72,0.035
73,0.125
74,0.0825
75,0.1825
76,0.2075
77,0.08
78,0.0375
79,0.0225
80,0.51
81,0.0725
82,0.1975
83,0.15
84,0.0125
85,0.1875
86,0.07
87,0.145
88,0.0725
89,0.1
90,0.1925
91,0.1775
92,0.0375
93,0.175
94,0.0875
95,0.585
96,0.29
97,0.2325
98,0.0875
99,0.07
100,0.01
101,0.1775
102,0.1
103,0.0275
104,0.135
105,0.1325
106,0.1225
107,0.03
108,0.0625
109,0.0575
110,0.06
111,0.135
112,0.1625
113,0.1
114,0.05
115,0.13
116,0.005
117,0.04
118,0.08
119,0.0325
120,0.0575
121,0.475
122,0.2275
123,0.055
124,0.3275
125,0.25
126,0.01
127,0.025
128,0.2575
129,0.4
130,0.075
131,0.1025
132,0.005
133,0.065
134,0.07
135,0.0775
136,0.0725
137,0.8425
138,0.05
139,0.44
140,0.015
141,0.1375
142,0.215
143,0.0325
144,0.0175
145,0.0375
146,0.305
147,0.045
148,0.3325
149,0.1525
150,0.335
151,0.29
152,0.1925
153,0.045
154,0.685
155,0.04
156,0.0425
157,0.045
158,0.035
159,0.0575
160,0.0275
161,0.34
162,0.0825
163,0.02
164,0.03
165,0.0375
166,0.3075
167,0.185
168,0.1425
169,0.015
170,0.06
171,0.0675
172,0.0625
173,0.0725
174,0.225
175,0.015
176,0.1375
177,0.0575
178,0.1075
179,0.16
180,0.3125
181,0.2425
182,0.1325
183,0.6225
184,0.11
185,0.52
186,0.2
187,0.05
188,0.0525
189,0.1075
190,0.06
191,0.11
192,0.0725
193,0.045
194,0.2825
195,0.445
196,0.45
197,0.045
198,0.1975
199,0.035
200,0.075
201,0.375
202,0.0925
203,0.36
204,0.0825
205,0.1125
206,0.085
207,0.4425
208,0.095
209,0.0625
210,0.2475
211,0.3775
212,0.085
213,0.095
214,0.12
215,0.3275
216,0.745
217,0.4975
218,0.0575
219,0.125
220,0.0575
221,0.1
222,0.075
223,0.0725
224,0.07
225,0.08
226,0.04
227,0.055
228,0.1
229,0.0275
230,0.08
231,0.5075
232,0.1525
233,0.0425
234,0.2175
235,0.015
236,0.165
237,0.06
238,0.0425
239,0.485
240,0.04
241,0.045
242,0.0625
243,0.4475
244,0.4175
245,0.045
246,0.0175
247,0.4825
248,0.025
249,0.0325
250,0.1
251,0.0175
252,0.0075
253,0.0375
254,0.08
255,0.0375
256,0.435
257,0.055
258,0.105
259,0.105
260,0.2775
261,0.0125
262,0.0375
263,0.155
264,0.3
265,0.2625
266,0.21
267,0.0725
268,0.0625
269,0.5225
270,0.045
271,0.09
272,0.1125
273,0.665
274,0.235
275,0.235
276,0.1775
277,0.1025
278,0.1575
279,0.025
280,0.115
281,0.2525
282,0.26
283,0.145
284,0.1675
285,0.255
286,0.5175
287,0.0525
288,0.1525
289,0.095
290,0.09
291,0.1825
292,0.0425
293,0.12
294,0.1625
295,0.05
296,0.22
297,0.0225
298,0.04
299,0.4875
300,0.0975
301,0.015
302,0.0225
303,0.07
304,0.46
305,0.1475
306,0.045
307,0.175
308,0.0375
309,0.0775
310,0.045
311,0.075
312,0.135
313,0.1625
314,0.145
315,0.115
316,0.14
317,0.4475
318,0.1275
319,0.03
320,0.165
321,0.0925
322,0.0675
323,0.005
324,0.0975
325,0.565
326,0.1025
327,0.555
328,0.235
329,0.23
330,0.1825
331,0.05
332,0.1225
333,0.03
334,0.05
335,0.0975
336,0.0775
337,0.095
338,0.1
339,0.0425
340,0.3725
341,0.0475
342,0.535
343,0.0275
344,0.2425
345,0.0925
346,0.055
347,0.1325
348,0.05
349,0.035
350,0.095
351,0.01
352,0.0225
353,0.145
354,0.14
355,0.0225
356,0.485
357,0.2475
358,0.055
359,0.07
360,0.2525
361,0.015
362,0.0825
363,0.0225
364,0.1375
365,0.3475
366,0.1625
367,0.105
368,0.0725
369,0.0875
370,0.3075
371,0.04
372,0.06
373,0.07
374,0.62
375,0.2
376,0.0975
377,0.17
378,0.225
379,0.2925
380,0.0125
381,0.325
382,0.0675
383,0.03
384,0.045
385,0.325
386,0.3425
387,0.4775
388,0.54
389,0.1825
390,0.315
391,0.0125
392,0.015
393,0.225
394,0.0275
395,0.0275
396,0.0925
397,0.32
398,0.0225
399,0.02
400,0.1275
401,0.105
402,0.025
403,0.1325
404,0.1125
405,0.2375
406,0.0275
407,0.0525
408,0.26
409,0.125
410,0.0575
411,0.0425
412,0.035
413,0.09
414,0.1
415,0.11
416,0.01
417,0.5375
418,0.095
419,0.0625
420,0.0225
421,0.1875
422,0.235
423,0.08
424,0.1375
425,0.1125
426,0.0125
427,0.0825
428,0.065
429,0.105
430,0.12
431,0.03
432,0.025
433,0.06
434,0.045
435,0.2025
436,0.0175
437,0.045
438,0.035
439,0.1475
440,0.025
441,0.0525
442,0.1625
443,0.0475
444,0.01
445,0.1125
446,0.0125
447,0.025
448,0.1125
449,0.0625
450,0.135
451,0.085
452,0.1
453,0.7075
454,0.1625
455,0.0775
456,0.0325
457,0.4225
458,0.4375
459,0.345
460,0.085
461,0.02
462,0.0275
463,0.1975
464,0.33
465,0.265
466,0.16
467,0.7775
468,0.3025
469,0.0425
470,0.07
