id,Attrition
1,0.025
2,0.0375
3,0.075
4,0.1125
5,0.04
6,0.05
7,0.28
8,0.1575
9,0.1225
10,0.06
11,0.0725
12,0.1175
13,0.06
14,0.025
15,0.05
16,0.01
17,0.2075
18,0.075
19,0.055
20,0.01
21,0.0525
22,0.5225
23,0.0925
24,0.0625
25,0.1
26,0.025
27,0.0575
28,0.025
29,0.815
30,0.045
31,0.015
32,0.0475
33,0.2125
34,0.225
35,0.0325
36,0.0225
37,0.06
38,0.1025
39,0.1125
40,0.165
41,0.6775
42,0.1075
43,0.0425
44,0.0575
45,0.0575
46,0.0525
47,0.1225
48,0.11
49,0.0025
50,0.115
51,0.4525
52,0.0575
53,0.12
54,0.2675
55,0.095
56,0.1375
57,0.045
58,0.395
59,0.0225
60,0.0775
61,0.0575
62,0.0175
63,0.2475
64,0.0175
65,0.105
66,0.0575
67,0.0325
68,0.0625
69,0.0925
70,0.07
71,0.13
72,0.0575
73,0.1175
74,0.0925
75,0.1825
76,0.29
77,0.0675
78,0.0575
79,0.035
80,0.4225
81,0.0675
82,0.1875
83,0.1
84,0.015
85,0.1725
86,0.07
87,0.16
88,0.1075
89,0.08
90,0.16
91,0.2
92,0.0275
93,0.22
94,0.0975
95,0.63
96,0.3275
97,0.2025
98,0.105
99,0.0475
100,0.0125
101,0.2
102,0.0725
103,0.065
104,0.1475
105,0.165
106,0.105
107,0.0375
108,0.07
109,0.0575
110,0.0525
111,0.1325
112,0.125
113,0.11
114,0.04
115,0.13
116,0.01
117,0.0075
118,0.0525
119,0.035
120,0.075
121,0.4
122,0.1575
123,0.035
124,0.3
125,0.2525
126,0.0425
127,0.0125
128,0.205
129,0.3575
130,0.0925
131,0.0675
132,0.0175
133,0.05
134,0.1225
135,0.0675
136,0.1075
137,0.7925
138,0.05
139,0.37
140,0.015
141,0.1525
142,0.215
143,0.045
144,0.0375
145,0.0475
146,0.28
147,0.0725
148,0.385
149,0.115
150,0.3225
151,0.2575
152,0.2075
153,0.0625
154,0.635
155,0.0375
156,0.045
157,0.0375
158,0.04
159,0.035
160,0.035
161,0.3325
162,0.1425
163,0.045
164,0.0275
165,0.0625
166,0.2725
167,0.2075
168,0.1575
169,0.015
170,0.0425
171,0.0675
172,0.055
173,0.06
174,0.2525
175,0.015
176,0.1675
177,0.1
178,0.0925
179,0.16
180,0.3425
181,0.2125
182,0.12
183,0.595
184,0.1325
185,0.605
186,0.1925
187,0.02
188,0.0525
189,0.1275
190,0.0875
191,0.105
192,0.0825
193,0.03
194,0.2675
195,0.365
196,0.32
197,0.045
198,0.1925
199,0.03
200,0.0725
201,0.385
202,0.165
203,0.2975
204,0.0925
205,0.1475
206,0.0575
207,0.47
208,0.125
209,0.0525
210,0.25
211,0.355
212,0.095
213,0.0825
214,0.12
215,0.3025
216,0.7575
217,0.375
218,0.0525
219,0.085
220,0.045
221,0.1025
222,0.0925
223,0.065
224,0.1525
225,0.13
226,0.0075
227,0.0825
228,0.0625
229,0.04
230,0.105
231,0.47
232,0.1275
233,0.07
234,0.2125
235,0.0125
236,0.1725
237,0.0575
238,0.05
239,0.53
240,0.02
241,0.045
242,0.035
243,0.3975
244,0.4825
245,0.035
246,0.0075
247,0.395
248,0.0325
249,0.005
250,0.06
251,0.04
252,0.0075
253,0.0325
254,0.0825
255,0.0175
256,0.45
257,0.06
258,0.08
259,0.1275
260,0.2475
261,0.01
262,0.0425
263,0.155
264,0.2825
265,0.315
266,0.1825
267,0.0425
268,0.0325
269,0.44
270,0.075
271,0.075
272,0.085
273,0.7125
274,0.34
275,0.2675
276,0.1525
277,0.1075
278,0.1625
279,0.0475
280,0.0575
281,0.23
282,0.205
283,0.095
284,0.17
285,0.24
286,0.5325
287,0.0525
288,0.155
289,0.0625
290,0.0975
291,0.1375
292,0.06
293,0.125
294,0.17
295,0.0925
296,0.2225
297,0.01
298,0.08
299,0.475
300,0.1775
301,0.02
302,0.05
303,0.05
304,0.54
305,0.0925
306,0.07
307,0.1975
308,0.0475
309,0.0425
310,0.065
311,0.06
312,0.155
313,0.1275
314,0.14
315,0.1225
316,0.1675
317,0.525
318,0.1225
319,0.0425
320,0.21
321,0.09
322,0.11
323,0.015
324,0.0675
325,0.5325
326,0.11
327,0.47
328,0.2275
329,0.18
330,0.21
331,0.0575
332,0.1225
333,0.0375
334,0.06
335,0.125
336,0.085
337,0.1225
338,0.11
339,0.055
340,0.4175
341,0.04
342,0.5775
343,0.0175
344,0.2675
345,0.115
346,0.0875
347,0.1425
348,0.065
349,0.0325
350,0.115
351,0.015
352,0.015
353,0.1425
354,0.12
355,0.02
356,0.395
357,0.1925
358,0.0625
359,0.0725
360,0.37
361,0.025
362,0.095
363,0.0225
364,0.1225
365,0.365
366,0.15
367,0.1575
368,0.0925
369,0.065
370,0.3725
371,0.0475
372,0.06
373,0.0475
374,0.615
375,0.18
376,0.0725
377,0.2275
378,0.195
379,0.275
380,0.01
381,0.365
382,0.0725
383,0.0325
384,0.0675
385,0.2825
386,0.365
387,0.42
388,0.445
389,0.1925
390,0.31
391,0.04
392,0.005
393,0.255
394,0.0275
395,0.045
396,0.0675
397,0.375
398,0.03
399,0.04
400,0.11
401,0.0975
402,0.0225
403,0.105
404,0.1675
405,0.1675
406,0.0325
407,0.0375
408,0.3225
409,0.1475
410,0.0425
411,0.0475
412,0.025
413,0.085
414,0.095
415,0.085
416,0.01
417,0.5875
418,0.1
419,0.045
420,0.01
421,0.2025
422,0.2425
423,0.085
424,0.095
425,0.2125
426,0.0375
427,0.0775
428,0.04
429,0.0925
430,0.11
431,0.0475
432,0.025
433,0.045
434,0.045
435,0.15
436,0.02
437,0.07
438,0.02
439,0.105
440,0.0225
441,0.07
442,0.1275
443,0.0625
444,0.0075
445,0.15
446,0.0225
447,0.04
448,0.1675
449,0.0525
450,0.12
451,0.07
452,0.0875
453,0.61
454,0.1125
455,0.085
456,0.0225
457,0.395
458,0.3275
459,0.3025
460,0.0675
461,0.0275
462,0.0425
463,0.285
464,0.36
465,0.2375
466,0.2725
467,0.7625
468,0.315
469,0.03
470,0.0675
