id,Attrition
1,0.095
2,0.085
3,0.1475
4,0.15
5,0.085
6,0.08
7,0.4325
8,0.21
9,0.165
10,0.0875
11,0.12
12,0.205
13,0.07
14,0.0325
15,0.04
16,0.0525
17,0.3225
18,0.14
19,0.0875
20,0.015
21,0.0925
22,0.5
23,0.175
24,0.1125
25,0.1225
26,0.035
27,0.05
28,0.0575
29,0.755
30,0.0675
31,0.0475
32,0.115
33,0.215
34,0.3025
35,0.035
36,0.0725
37,0.12
38,0.155
39,0.19
40,0.1775
41,0.7325
42,0.21
43,0.0675
44,0.0975
45,0.0625
46,0.1
47,0.2275
48,0.18
49,0.0475
50,0.1725
51,0.525
52,0.1225
53,0.1875
54,0.41
55,0.2075
56,0.275
57,0.125
58,0.4975
59,0.0375
60,0.1475
61,0.08
62,0.0725
63,0.3975
64,0.0175
65,0.155
66,0.135
67,0.0525
68,0.105
69,0.1775
70,0.1475
71,0.1875
72,0.07
73,0.1525
74,0.21
75,0.245
76,0.405
77,0.1
78,0.12
79,0.0525
80,0.49
81,0.09
82,0.2225
83,0.215
84,0.04
85,0.23
86,0.1975
87,0.21
88,0.1375
89,0.165
90,0.3
91,0.26
92,0.055
93,0.2925
94,0.185
95,0.725
96,0.38
97,0.2625
98,0.1575
99,0.1175
100,0.02
101,0.255
102,0.115
103,0.065
104,0.19
105,0.2175
106,0.24
107,0.0525
108,0.155
109,0.095
110,0.0925
111,0.1825
112,0.2425
113,0.15
114,0.11
115,0.2225
116,0.0225
117,0.025
118,0.0975
119,0.0775
120,0.105
121,0.465
122,0.2475
123,0.0675
124,0.3375
125,0.3325
126,0.0525
127,0.035
128,0.295
129,0.525
130,0.17
131,0.15
132,0.055
133,0.14
134,0.17
135,0.14
136,0.1025
137,0.815
138,0.0775
139,0.3975
140,0.04
141,0.1625
142,0.2925
143,0.0725
144,0.0625
145,0.095
146,0.345
147,0.095
148,0.555
149,0.17
150,0.4125
151,0.3425
152,0.2625
153,0.11
154,0.675
155,0.0525
156,0.1125
157,0.0675
158,0.0975
159,0.0725
160,0.1025
161,0.455
162,0.13
163,0.0725
164,0.04
165,0.0725
166,0.3375
167,0.315
168,0.19
169,0.0175
170,0.0925
171,0.06
172,0.0775
173,0.1
174,0.3125
175,0.0325
176,0.1825
177,0.16
178,0.1375
179,0.195
180,0.48
181,0.4025
182,0.2475
183,0.6025
184,0.2025
185,0.565
186,0.23
187,0.0675
188,0.09
189,0.1475
190,0.12
191,0.21
192,0.12
193,0.0575
194,0.3
195,0.415
196,0.3725
197,0.1125
198,0.2725
199,0.0625
200,0.1025
201,0.47
202,0.185
203,0.455
204,0.1775
205,0.2325
206,0.07
207,0.4725
208,0.1575
209,0.08
210,0.38
211,0.495
212,0.1875
213,0.195
214,0.1725
215,0.38
216,0.7075
217,0.5425
218,0.1225
219,0.22
220,0.0825
221,0.16
222,0.14
223,0.1075
224,0.195
225,0.185
226,0.06
227,0.1925
228,0.145
229,0.09
230,0.1675
231,0.48
232,0.2225
233,0.095
234,0.28
235,0.04
236,0.21
237,0.0775
238,0.125
239,0.5675
240,0.0575
241,0.105
242,0.0875
243,0.495
244,0.5075
245,0.0475
246,0.025
247,0.53
248,0.07
249,0.04
250,0.11
251,0.0525
252,0.025
253,0.08
254,0.1425
255,0.045
256,0.545
257,0.12
258,0.1275
259,0.2075
260,0.3475
261,0.03
262,0.0775
263,0.2425
264,0.3825
265,0.45
266,0.2375
267,0.0875
268,0.0775
269,0.5225
270,0.1275
271,0.085
272,0.1475
273,0.7725
274,0.4
275,0.35
276,0.1975
277,0.18
278,0.245
279,0.1225
280,0.13
281,0.2225
282,0.2825
283,0.145
284,0.1675
285,0.35
286,0.4325
287,0.1175
288,0.185
289,0.1275
290,0.1775
291,0.2975
292,0.13
293,0.165
294,0.23
295,0.0975
296,0.2625
297,0.05
298,0.155
299,0.4875
300,0.2
301,0.0375
302,0.055
303,0.085
304,0.6325
305,0.1375
306,0.0725
307,0.2875
308,0.0825
309,0.1125
310,0.095
311,0.1125
312,0.2525
313,0.265
314,0.1925
315,0.145
316,0.2525
317,0.5975
318,0.1625
319,0.0525
320,0.2825
321,0.16
322,0.1675
323,0.0425
324,0.1525
325,0.605
326,0.1825
327,0.5425
328,0.435
329,0.275
330,0.3275
331,0.16
332,0.2175
333,0.0725
334,0.105
335,0.175
336,0.1
337,0.2075
338,0.13
339,0.125
340,0.4775
341,0.12
342,0.5825
343,0.0425
344,0.4
345,0.2
346,0.145
347,0.215
348,0.1075
349,0.03
350,0.14
351,0.02
352,0.0625
353,0.2025
354,0.165
355,0.0175
356,0.43
357,0.36
358,0.115
359,0.1375
360,0.41
361,0.0775
362,0.125
363,0.0625
364,0.22
365,0.4475
366,0.1575
367,0.2475
368,0.1275
369,0.16
370,0.4425
371,0.0875
372,0.0975
373,0.0925
374,0.715
375,0.2275
376,0.1625
377,0.265
378,0.2425
379,0.4
380,0.0175
381,0.4275
382,0.12
383,0.06
384,0.0575
385,0.3575
386,0.4175
387,0.4925
388,0.53
389,0.2225
390,0.3475
391,0.0575
392,0.0175
393,0.3625
394,0.1
395,0.065
396,0.1625
397,0.46
398,0.05
399,0.06
400,0.155
401,0.2
402,0.035
403,0.1925
404,0.2175
405,0.32
406,0.06
407,0.09
408,0.415
409,0.1925
410,0.105
411,0.0475
412,0.065
413,0.17
414,0.1725
415,0.12
416,0.01
417,0.68
418,0.13
419,0.09
420,0.0375
421,0.305
422,0.41
423,0.1225
424,0.2125
425,0.2475
426,0.0625
427,0.1725
428,0.06
429,0.1575
430,0.1825
431,0.0675
432,0.025
433,0.0875
434,0.1
435,0.2275
436,0.03
437,0.1125
438,0.0475
439,0.1325
440,0.065
441,0.1375
442,0.2
443,0.135
444,0.03
445,0.19
446,0.0325
447,0.0875
448,0.2025
449,0.0625
450,0.15
451,0.1075
452,0.185
453,0.595
454,0.235
455,0.1825
456,0.0525
457,0.555
458,0.38
459,0.405
460,0.155
461,0.055
462,0.0825
463,0.34
464,0.3575
465,0.485
466,0.39
467,0.8475
468,0.385
469,0.0775
470,0.1225
