id,Attrition
1,0.07
2,0.13
3,0.13
4,0.11
5,0.08
6,0.06
7,0.44
8,0.2
9,0.18
10,0.06
11,0.13
12,0.19
13,0.08
14,0.02
15,0.05
16,0.06
17,0.34
18,0.13
19,0.1
20,0.01
21,0.08
22,0.44
23,0.22
24,0.13
25,0.09
26,0.01
27,0.05
28,0.09
29,0.72
30,0.09
31,0.06
32,0.05
33,0.25
34,0.29
35,0.02
36,0.09
37,0.09
38,0.12
39,0.17
40,0.24
41,0.74
42,0.21
43,0.04
44,0.11
45,0.09
46,0.08
47,0.32
48,0.18
49,0.09
50,0.19
51,0.54
52,0.13
53,0.14
54,0.37
55,0.27
56,0.24
57,0.14
58,0.44
59,0.03
60,0.22
61,0.1
62,0.09
63,0.43
64,0.03
65,0.14
66,0.09
67,0.09
68,0.12
69,0.28
70,0.12
71,0.19
72,0.12
73,0.12
74,0.25
75,0.27
76,0.52
77,0.09
78,0.19
79,0.13
80,0.47
81,0.11
82,0.27
83,0.23
84,0.08
85,0.22
86,0.1
87,0.24
88,0.13
89,0.19
90,0.32
91,0.31
92,0.04
93,0.29
94,0.17
95,0.68
96,0.35
97,0.25
98,0.15
99,0.14
100,0.02
101,0.25
102,0.12
103,0.1
104,0.2
105,0.22
106,0.19
107,0.04
108,0.09
109,0.11
110,0.09
111,0.19
112,0.23
113,0.15
114,0.12
115,0.22
116,0.01
117,0.02
118,0.11
119,0.08
120,0.1
121,0.47
122,0.26
123,0.08
124,0.42
125,0.35
126,0.04
127,0.04
128,0.22
129,0.5
130,0.16
131,0.18
132,0.04
133,0.13
134,0.17
135,0.14
136,0.1
137,0.83
138,0.07
139,0.35
140,0.02
141,0.21
142,0.27
143,0.12
144,0.03
145,0.12
146,0.37
147,0.08
148,0.58
149,0.23
150,0.43
151,0.36
152,0.21
153,0.12
154,0.69
155,0.04
156,0.12
157,0.06
158,0.12
159,0.06
160,0.14
161,0.45
162,0.1
163,0.1
164,0.02
165,0.08
166,0.32
167,0.26
168,0.13
169,0.03
170,0.09
171,0.03
172,0.09
173,0.15
174,0.33
175,0.01
176,0.19
177,0.14
178,0.13
179,0.2
180,0.5
181,0.37
182,0.23
183,0.61
184,0.19
185,0.53
186,0.21
187,0.03
188,0.03
189,0.14
190,0.19
191,0.27
192,0.14
193,0.1
194,0.25
195,0.47
196,0.35
197,0.18
198,0.28
199,0.05
200,0.09
201,0.53
202,0.14
203,0.43
204,0.24
205,0.18
206,0.06
207,0.49
208,0.17
209,0.06
210,0.35
211,0.4
