id,Attrition
1,0.08
2,0.08
3,0.12
4,0.17
5,0.07
6,0.04
7,0.42
8,0.24
9,0.14
10,0.12
11,0.05
12,0.28
13,0.05
14,0.01
15,0.04
16,0.02
17,0.35
18,0.19
19,0.12
20,0.03
21,0.05
22,0.49
23,0.1
24,0.09
25,0.12
26,0.02
27,0.05
28,0.09
29,0.76
30,0.1
31,0.04
32,0.1
33,0.25
34,0.24
35,0.04
36,0.1
37,0.16
38,0.18
39,0.19
40,0.21
41,0.67
42,0.2
43,0.05
44,0.09
45,0.05
46,0.13
47,0.26
48,0.24
49,0.06
50,0.2
51,0.46
52,0.2
53,0.26
54,0.48
55,0.2
56,0.24
57,0.09
58,0.53
59,0.01
60,0.17
61,0.04
62,0.07
63,0.3
64,0.03
65,0.08
66,0.13
67,0.08
68,0.13
69,0.15
70,0.11
71,0.11
72,0.08
73,0.18
74,0.18
75,0.28
76,0.4
77,0.1
78,0.09
79,0.04
80,0.42
81,0.1
82,0.25
83,0.19
84,0.03
85,0.21
86,0.1
87,0.16
88,0.13
89,0.19
90,0.44
91,0.29
92,0.06
93,0.35
94,0.17
95,0.67
96,0.34
97,0.2
98,0.11
99,0.1
100,0.03
101,0.24
102,0.13
103,0.07
104,0.22
105,0.22
106,0.11
107,0.09
108,0.14
109,0.1
110,0.08
111,0.13
112,0.23
113,0.14
114,0.09
115,0.18
116,0.04
117,0.06
118,0.07
119,0.11
120,0.12
121,0.44
122,0.24
123,0.07
124,0.37
125,0.29
126,0.06
127,0.06
128,0.25
129,0.58
130,0.15
131,0.12
132,0.02
133,0.15
134,0.2
135,0.14
136,0.12
137,0.73
138,0.08
139,0.4
140,0.04
141,0.3
142,0.29
143,0.05
144,0.08
145,0.06
146,0.35
147,0.13
148,0.59
149,0.21
150,0.41
151,0.34
152,0.31
153,0.08
154,0.66
155,0.11
156,0.06
157,0.1
158,0.12
159,0.09
160,0.09
161,0.35
162,0.2
163,0.03
164,0.07
165,0.08
166,0.38
167,0.35
168,0.18
169,0.0
170,0.08
171,0.11
172,0.06
173,0.06
174,0.33
175,0.04
176,0.15
177,0.15
178,0.15
179,0.13
180,0.44
181,0.45
182,0.24
183,0.62
184,0.13
185,0.61
186,0.23
187,0.05
188,0.05
189,0.15
190,0.14
191,0.19
192,0.15
193,0.03
194,0.32
195,0.37
196,0.4
197,0.1
198,0.28
199,0.07
200,0.1
201,0.45
202,0.31
203,0.39
204,0.14
205,0.18
206,0.12
207,0.55
208,0.2
209,0.06
210,0.28
211,0.52
212,0.13
213,0.13
214,0.25
215,0.4
216,0.79
217,0.47
218,0.15
219,0.23
220,0.14
221,0.15
222,0.14
223,0.12
224,0.19
225,0.15
226,0.06
227,0.21
228,0.1
229,0.08
230,0.14
231,0.48
232,0.16
233,0.09
234,0.33
235,0.04
236,0.19
237,0.09
238,0.05
239,0.54
240,0.05
241,0.12
242,0.11
243,0.35
244,0.52
245,0.08
246,0.05
247,0.43
248,0.11
249,0.03
250,0.09
251,0.03
252,0.0
253,0.06
254,0.13
255,0.08
256,0.53
257,0.12
258,0.2
259,0.15
260,0.33
261,0.06
262,0.09
263,0.21
264,0.43
265,0.44
266,0.18
267,0.06
268,0.09
269,0.56
270,0.14
271,0.06
272,0.16
273,0.72
274,0.42
275,0.36
276,0.19
277,0.12
278,0.24
279,0.11
280,0.18
281,0.29
282,0.27
283,0.2
284,0.18
285,0.41
286,0.49
287,0.12
288,0.19
289,0.1
290,0.16
291,0.26
292,0.09
293,0.14
294,0.19
295,0.14
296,0.17
297,0.08
298,0.15
299,0.49
300,0.24
301,0.07
302,0.05
303,0.12
304,0.59
305,0.06
306,0.05
307,0.27
308,0.09
309,0.08
310,0.05
311,0.04
312,0.22
313,0.25
314,0.16
315,0.18
316,0.25
317,0.53
318,0.19
319,0.04
320,0.21
321,0.15
322,0.16
323,0.07
324,0.13
325,0.65
326,0.15
327,0.54
328,0.38
329,0.22
330,0.35
331,0.23
332,0.26
333,0.07
334,0.13
335,0.16
336,0.11
337,0.18
338,0.11
339,0.17
340,0.38
341,0.13
342,0.61
343,0.03
344,0.38
345,0.12
346,0.14
347,0.18
348,0.09
349,0.06
350,0.16
351,0.01
352,0.03
353,0.24
354,0.12
355,0.02
356,0.38
357,0.35
358,0.08
359,0.11
360,0.47
361,0.07
362,0.09
363,0.06
364,0.16
365,0.51
366,0.09
367,0.23
368,0.14
369,0.17
370,0.39
371,0.09
372,0.18
373,0.05
374,0.69
375,0.27
376,0.18
377,0.33
378,0.25
379,0.44
380,0.03
381,0.42
382,0.18
383,0.13
384,0.02
385,0.42
386,0.42
387,0.49
388,0.51
389,0.25
390,0.38
391,0.04
392,0.05
393,0.42
394,0.11
395,0.03
396,0.19
397,0.46
398,0.06
399,0.1
400,0.13
401,0.13
402,0.1
403,0.18
404,0.25
405,0.27
406,0.05
407,0.08
408,0.42
409,0.2
410,0.09
411,0.1
412,0.04
413,0.14
414,0.14
415,0.17
416,0.01
417,0.61
418,0.12
419,0.09
420,0.04
421,0.39
422,0.37
423,0.07
424,0.18
425,0.16
426,0.05
427,0.17
428,0.08
429,0.13
430,0.19
431,0.1
432,0.01
433,0.12
434,0.08
435,0.2
436,0.07
437,0.15
438,0.09
439,0.14
440,0.0
441,0.17
442,0.21
443,0.1
444,0.04
445,0.23
446,0.02
447,0.05
448,0.22
449,0.03
450,0.18
451,0.07
