id,Attrition
1,0.06
2,0.07
3,0.15
4,0.16
5,0.05
6,0.11
7,0.54
8,0.23
9,0.18
10,0.12
11,0.07
12,0.21
13,0.08
14,0.05
15,0.06
16,0.07
17,0.35
18,0.13
19,0.16
20,0.02
21,0.07
22,0.56
23,0.17
24,0.09
25,0.18
26,0.03
27,0.07
28,0.04
29,0.77
30,0.12
31,0.01
32,0.11
33,0.24
34,0.28
35,0.05
36,0.05
37,0.1
38,0.21
39,0.16
40,0.13
41,0.65
42,0.13
43,0.07
44,0.1
45,0.08
46,0.13
47,0.24
48,0.15
49,0.06
50,0.23
51,0.51
52,0.17
53,0.19
54,0.4
55,0.22
56,0.17
57,0.07
58,0.48
59,0.03
60,0.13
61,0.12
62,0.08
63,0.42
64,0.03
65,0.14
66,0.06
67,0.06
68,0.05
69,0.27
70,0.14
71,0.23
72,0.05
73,0.24
74,0.3
75,0.31
76,0.38
77,0.23
78,0.2
79,0.05
80,0.51
81,0.08
82,0.18
83,0.18
84,0.01
85,0.22
86,0.12
87,0.19
88,0.24
89,0.1
90,0.4
91,0.3
92,0.07
93,0.42
94,0.22
95,0.71
96,0.3
97,0.14
98,0.16
99,0.11
100,0.04
101,0.33
102,0.09
103,0.11
104,0.16
105,0.21
106,0.18
107,0.11
108,0.08
109,0.08
110,0.04
111,0.17
112,0.19
113,0.08
114,0.13
115,0.19
116,0.02
117,0.07
118,0.06
119,0.05
120,0.11
121,0.48
122,0.22
123,0.1
124,0.29
125,0.22
126,0.08
127,0.05
128,0.29
129,0.44
130,0.24
131,0.12
132,0.0
133,0.18
134,0.15
135,0.14
136,0.12
137,0.8
138,0.03
139,0.34
140,0.06
141,0.21
142,0.22
143,0.03
144,0.03
145,0.1
146,0.47
147,0.13
148,0.47
149,0.2
150,0.33
151,0.47
152,0.26
153,0.14
154,0.67
155,0.11
156,0.15
157,0.09
158,0.13
159,0.08
160,0.09
161,0.29
162,0.17
163,0.03
164,0.04
165,0.1
166,0.44
167,0.27
168,0.2
169,0.03
170,0.04
171,0.14
172,0.11
173,0.15
174,0.42
175,0.05
176,0.26
177,0.17
178,0.16
179,0.22
180,0.51
181,0.38
182,0.12
183,0.71
184,0.18
185,0.59
186,0.29
187,0.04
188,0.05
189,0.1
190,0.16
191,0.17
192,0.21
193,0.04
194,0.42
195,0.43
196,0.34
197,0.13
198,0.22
199,0.05
200,0.16
201,0.48
202,0.2
203,0.36
204,0.11
205,0.21
206,0.11
207,0.41
208,0.27
209,0.09
210,0.3
211,0.46
212,0.22
213,0.2
214,0.25
215,0.42
216,0.78
217,0.48
218,0.12
219,0.14
220,0.12
221,0.18
222,0.06
223,0.12
224,0.34
225,0.23
226,0.04
227,0.19
228,0.09
229,0.14
230,0.15
231,0.42
232,0.22
233,0.1
234,0.42
235,0.05
236,0.29
237,0.18
238,0.07
239,0.5
240,0.06
241,0.13
242,0.08
243,0.46
244,0.46
245,0.09
246,0.01
247,0.47
248,0.06
249,0.04
250,0.14
251,0.08
252,0.06
253,0.07
254,0.2
255,0.09
256,0.46
257,0.03
258,0.22
259,0.16
260,0.31
261,0.02
262,0.03
263,0.14
264,0.4
265,0.27
266,0.2
267,0.12
268,0.11
269,0.43
270,0.12
271,0.11
272,0.19
273,0.81
274,0.44
275,0.38
276,0.34
277,0.09
278,0.13
279,0.15
280,0.12
281,0.29
282,0.29
283,0.18
284,0.19
285,0.28
286,0.67
287,0.07
288,0.21
289,0.11
290,0.16
291,0.34
292,0.13
293,0.15
294,0.17
295,0.12
296,0.21
297,0.13
298,0.17
299,0.56
300,0.22
301,0.02
302,0.06
303,0.12
304,0.56
305,0.09
306,0.04
307,0.28
308,0.06
309,0.08
310,0.05
311,0.11
312,0.32
313,0.18
314,0.2
315,0.15
316,0.24
317,0.45
318,0.16
319,0.07
320,0.3
321,0.13
322,0.21
323,0.02
324,0.16
325,0.54
326,0.22
327,0.37
328,0.33
329,0.3
330,0.32
331,0.15
332,0.21
333,0.07
334,0.1
335,0.15
336,0.15
337,0.18
338,0.16
339,0.08
340,0.48
341,0.12
342,0.6
343,0.02
344,0.4
345,0.2
346,0.2
347,0.18
348,0.15
349,0.03
350,0.16
351,0.04
352,0.05
353,0.26
354,0.21
355,0.01
356,0.36
357,0.45
358,0.11
359,0.13
360,0.36
361,0.1
362,0.15
363,0.09
364,0.12
365,0.41
366,0.17
367,0.21
368,0.18
369,0.19
370,0.35
371,0.11
372,0.14
373,0.14
374,0.63
375,0.3
376,0.09
377,0.25
378,0.27
379,0.41
380,0.02
381,0.5
382,0.1
383,0.04
384,0.04
385,0.37
386,0.3
387,0.54
388,0.42
389,0.2
390,0.55
391,0.14
392,0.02
393,0.29
394,0.12
395,0.09
396,0.17
397,0.4
398,0.05
399,0.15
400,0.26
401,0.19
402,0.08
403,0.11
404,0.16
405,0.37
406,0.04
407,0.08
408,0.32
409,0.21
410,0.12
411,0.09
412,0.08
413,0.12
414,0.2
415,0.07
416,0.01
417,0.59
418,0.23
419,0.08
420,0.1
421,0.31
422,0.33
423,0.12
424,0.21
425,0.17
426,0.07
427,0.14
428,0.07
429,0.17
430,0.13
431,0.11
432,0.02
433,0.13
434,0.14
435,0.26
436,0.03
437,0.08
438,0.01
439,0.14
440,0.05
441,0.11
442,0.3
443,0.04
444,0.05
445,0.16
446,0.03
447,0.09
448,0.32
449,0.07
450,0.15
451,0.06
452,0.22
453,0.7
454,0.21
455,0.17
456,0.07
457,0.42
458,0.36
459,0.37
460,0.16
461,0.05
462,0.09
463,0.38
464,0.45
465,0.45
466,0.41
467,0.71
468,0.25
469,0.06
470,0.06
