id,Attrition
1,0.02
2,0.06
3,0.2
4,0.18
5,0.08
6,0.06
7,0.54
8,0.14
9,0.14
10,0.08
11,0.1
12,0.12
13,0.06
14,0.04
15,0.1
16,0.1
17,0.42
18,0.16
19,0.12
20,0.0
21,0.02
22,0.5
23,0.16
24,0.04
25,0.06
26,0.02
27,0.04
28,0.04
29,0.84
30,0.08
31,0.0
32,0.08
33,0.28
34,0.3
35,0.02
36,0.02
37,0.14
38,0.14
39,0.18
40,0.22
41,0.8
42,0.12
43,0.04
44,0.14
45,0.04
46,0.04
47,0.24
48,0.26
49,0.02
50,0.22
51,0.52
52,0.04
53,0.12
54,0.3
55,0.26
56,0.24
57,0.14
58,0.48
59,0.08
60,0.1
61,0.1
62,0.16
63,0.48
64,0.04
65,0.14
66,0.2
67,0.14
68,0.08
69,0.16
70,0.18
71,0.22
72,0.2
73,0.22
74,0.12
75,0.24
76,0.34
77,0.08
78,0.1
79,0.04
80,0.46
81,0.04
82,0.22
83,0.22
84,0.08
85,0.24
86,0.08
87,0.28
88,0.18
89,0.18
90,0.22
91,0.3
92,0.06
93,0.42
94,0.14
95,0.78
96,0.4
97,0.34
98,0.24
99,0.1
100,0.02
101,0.26
102,0.04
103,0.16
104,0.18
105,0.26
106,0.28
107,0.0
108,0.14
109,0.12
110,0.06
111,0.12
112,0.22
113,0.28
114,0.1
115,0.2
116,0.0
117,0.06
118,0.08
119,0.04
120,0.12
121,0.44
122,0.18
123,0.02
124,0.28
125,0.32
126,0.04
127,0.02
128,0.26
129,0.54
130,0.24
131,0.26
132,0.0
133,0.16
134,0.2
135,0.16
136,0.18
137,0.9
138,0.12
139,0.5
140,0.02
141,0.22
142,0.2
143,0.04
144,0.14
145,0.12
146,0.28
147,0.06
148,0.34
149,0.2
150,0.42
151,0.38
152,0.46
153,0.06
154,0.66
155,0.04
156,0.12
157,0.06
158,0.1
159,0.06
160,0.08
161,0.54
162,0.18
163,0.06
164,0.08
165,0.06
166,0.36
167,0.36
168,0.24
169,0.06
170,0.08
171,0.06
172,0.06
173,0.12
174,0.32
175,0.06
176,0.1
177,0.18
178,0.14
179,0.2
180,0.54
181,0.34
182,0.3
183,0.58
184,0.16
185,0.58
186,0.2
187,0.04
188,0.06
189,0.06
190,0.14
191,0.16
192,0.1
193,0.1
194,0.36
195,0.56
196,0.48
197,0.06
198,0.24
199,0.08
200,0.16
201,0.42
202,0.24
203,0.5
204,0.12
205,0.12
206,0.08
207,0.56
208,0.28
209,0.1
210,0.24
211,0.4
212,0.18
213,0.16
214,0.12
215,0.36
216,0.82
217,0.48
218,0.16
219,0.24
220,0.08
221,0.18
222,0.1
223,0.14
224,0.3
225,0.22
226,0.0
227,0.12
228,0.1
229,0.12
230,0.18
231,0.64
232,0.32
233,0.06
234,0.36
235,0.04
236,0.36
237,0.08
238,0.06
239,0.5
240,0.02
241,0.08
242,0.08
243,0.54
244,0.4
245,0.06
246,0.08
247,0.56
248,0.04
249,0.1
250,0.08
251,0.06
252,0.04
253,0.08
254,0.28
255,0.0
256,0.56
257,0.14
258,0.12
259,0.18
260,0.32
261,0.08
262,0.08
263,0.26
264,0.56
265,0.48
266,0.22
267,0.14
268,0.02
269,0.56
270,0.12
271,0.14
272,0.32
273,0.8
274,0.24
275,0.4
276,0.24
277,0.16
278,0.26
279,0.04
280,0.1
281,0.26
282,0.3
283,0.16
284,0.2
285,0.42
286,0.5
287,0.04
288,0.32
289,0.14
290,0.16
291,0.34
292,0.08
293,0.06
294,0.1
295,0.04
296,0.3
297,0.08
298,0.1
299,0.46
300,0.22
301,0.06
302,0.08
303,0.12
304,0.66
305,0.16
306,0.08
307,0.38
308,0.12
309,0.12
310,0.18
311,0.14
